FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),State (FIPS),Geographic Identifier,area_land,area_water,pop_density,population,white,black,native,asian,hawaiian,other_populatin,two_races_pop,avg_household_size,pop_25_over,ed_less_than_hs,ed_hs,ed_some_college,ed_ba,ed_ma,ed_prof_degree,ed_phd,total_laborforce,employed,unemployed,median_household_income,median_income_white,median_income_black,median_income_native,median_income_asian,median_income_hawaiian,median_income_other_race,median_income_2_races,median_income_latino,per_capita_income,Gini Index,median_gross_rent,households,households_rent_more_than_30
47,Tennessee,Tennessee,tn,47,04000US47,1.06803E+11,2350123465,161.2903,6651089,5166231,1117489,17848,112915,3806,90666,142134,2.53,4530706,590270,1467848,1266537,762299,311861,76858,55033,3239353,3047809,191544,50972,54085,36683,43212,72881,26466,37533,42803,41338,28511,0.4802,841,2567061,632748
48,Texas,Texas,tx,48,04000US48,6.76653E+11,19006305260,106.7346,27885195,20720689,3365783,136061,1308257,23672,1600234,730499,2.86,17815359,2993432,4448881,5153577,3409836,1321019,287320,201294,13728630,12985624,743006,59570,62679,44688,52094,84851,53659,44048,58037,46893,30143,0.4806,998,9553046,2521524
49,Utah,Utah,ut,49,04000US49,2.12886E+11,6998824394,37.04993,3045350,2632056,35862,32657,69810,27096,157990,89879,3.13,1782065,143360,407324,638721,391237,144145,32078,25200,1510998,1452040,58958,68374,70199,42739,41942,70759,64594,48967,59343,49787,28239,0.4264,988,957619,236211
50,Vermont,Vermont,vt,50,04000US50,23874175944,1030416650,67.80058,624977,589546,8058,2106,10579,184,2426,12078,2.31,439695,32707,128172,114710,97034,47484,11287,8301,342620,328742,13878,60076,60577,43548,41793,55568,,60078,45496,51322,33238,0.4466,972,259589,72807
51,Virginia,Virginia,va,51,04000US51,1.02258E+11,8528531774,213.1044,8413774,5722660,1613285,22972,531503,5677,208464,309213,2.61,5730352,612820,1381080,1549589,1244489,692598,144150,105626,4336393,4118723,217670,71564,76860,49273,61850,102735,79474,56708,72469,66452,37763,0.4682,1202,3128415,863850
53,Washington,Washington,wa,53,04000US53,1.72113E+11,12559278850,109.7668,7294336,5545997,269854,95048,607429,48043,311170,416795,2.55,5001943,444721,1109016,1684945,1104621,471410,109253,77977,3712186,3513856,198330,70116,71466,50487,45558,90131,65024,49832,63873,52879,36888,0.4568,1194,2800423,831592
54,West Virginia,West Virginia,wv,54,04000US54,62266474513,489028543,76.07991,1829054,1704345,66728,3668,14534,350,7290,32139,2.42,1292084,174230,523536,332568,158032,75727,16213,11778,796365,742615,53750,44921,45467,32070,29927,58521,60318,32121,40758,45765,25479,0.4643,711,734676,131237
55,Wisconsin,Wisconsin,wi,55,04000US55,1.4029E+11,29344951758,106.6788,5778394,4945966,368744,50422,159356,1975,115941,135990,2.4,3930889,317174,1216570,1236655,762210,285851,66358,46071,3089332,2964540,124792,59209,61974,30002,41594,66408,38836,41759,47712,44464,32018,0.446,837,2343129,571199
56,Wyoming,Wyoming,wy,56,04000US56,2.51459E+11,1867670745,5.99283,581836,532008,5540,14053,4756,539,9361,15579,2.46,389291,27644,111899,145071,67697,26978,5489,4513,304648,290963,13685,62268,63116,44712,49352,54025,137572,42027,54317,49059,32295,0.4347,843,230630,47998
72,Puerto Rico,Puerto Rico,pr,72,04000US72,8868896030,4922382562,989.09,3386941,2283720,365010,8504,6684,303,547254,175466,2.78,2364398,578229,659670,527171,428310,117015,28907,25096,1238450,1028500,209950,20166,21138,19496,23558,17146,,16874,21523,20079,12451,0.5475,474,1205075,256719
